carat,cut,color,clarity,depth,table,x,y,z,price
1.06,Very Good,H,SI2,62.4,54.0,6.5,6.54,4.07,4516.0
0.62,Premium,G,VS1,62.9,58.0,5.41,5.37,3.39,1770.0
0.26,Very Good,F,VS1,60.5,59.0,4.12,4.18,2.51,453.0
0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3502.0
1.01,Good,F,SI1,63.5,59.0,6.29,6.38,4.02,4899.0
1.13,Ideal,F,I1,62.2,55.0,6.68,6.63,4.14,3607.0
0.3,Ideal,F,VS2,62.0,54.0,4.31,4.34,2.68,605.0
0.39,Ideal,G,VVS2,60.6,57.0,4.72,4.75,2.87,902.0
0.35,Premium,I,VS1,60.7,62.0,4.59,4.53,2.77,709.0
0.34,Ideal,E,VVS1,61.0,57.0,4.53,4.55,2.77,946.0
1.24,Ideal,H,SI2,62.0,56.0,6.87,6.9,4.27,5797.0
0.56,Very Good,E,VS1,61.9,57.0,5.29,5.31,3.28,2037.0
0.32,Ideal,G,SI2,63.0,56.0,4.35,4.32,2.73,540.0
0.3,Very Good,E,VVS1,61.8,56.0,4.29,4.32,2.66,1006.0
0.81,Very Good,E,SI1,61.9,60.0,5.87,5.95,3.66,3643.0
2.09,Very Good,F,SI2,63.4,55.0,8.18,8.11,5.16,18640.0
0.3,Ideal,E,VVS2,61.0,56.0,4.33,4.39,2.66,812.0
0.3,Ideal,E,VVS1,62.1,56.0,4.3,4.33,2.68,838.0
0.56,Ideal,G,IF,61.8,56.0,5.28,5.34,3.28,2442.0
0.33,Ideal,H,VS2,61.8,54.0,4.45,4.48,2.76,539.0
0.34,Premium,I,SI1,60.4,56.0,4.56,4.54,2.75,589.0
0.43,Ideal,G,SI1,62.6,56.0,4.79,4.82,3.01,789.0
0.47,Ideal,H,IF,61.9,56.0,4.99,5.02,3.1,1865.0
0.57,Ideal,G,VVS2,60.7,55.0,5.36,5.34,3.25,2206.0
1.5,Premium,H,SI2,62.2,60.0,7.29,7.24,4.52,7812.0
0.78,Ideal,D,VS2,61.9,56.0,5.89,5.91,3.65,3811.0
1.03,Premium,D,SI2,60.6,60.0,6.52,6.46,3.93,5076.0
0.44,Ideal,G,VVS2,61.8,56.0,4.94,4.9,3.04,1155.0
0.7,Very Good,G,VS1,63.2,58.0,5.61,5.65,3.56,2473.0
0.77,Ideal,I,SI1,61.7,56.0,5.89,5.91,3.64,2382.0
1.13,Premium,F,I1,62.3,56.0,6.69,6.61,4.14,3607.0
1.0,Premium,F,VS2,61.9,59.0,6.38,6.34,3.94,5606.0
0.52,Premium,E,VS2,60.3,60.0,5.21,5.17,3.13,1815.0
0.81,Ideal,F,SI1,61.9,57.0,5.98,6.01,3.71,2977.0
1.2,Very Good,G,VS2,62.0,55.0,6.8,6.84,4.23,7318.0
1.09,Premium,D,SI2,62.8,56.0,,6.45,4.06,4538.0
0.8,Ideal,D,SI1,62.7,57.0,5.88,5.92,3.7,3564.0
0.31,Premium,H,VVS1,62.1,58.0,4.36,4.33,2.7,907.0
0.7,Good,D,VVS2,63.6,57.0,5.61,5.58,3.56,3312.0
1.52,Fair,H,SI1,65.3,58.0,7.14,7.1,4.65,8001.0
0.33,Ideal,E,VS2,61.9,56.0,4.46,4.43,2.75,928.0
1.0,Good,F,SI2,63.8,58.0,6.28,6.33,4.02,4081.0
0.5,Very Good,G,VS1,63.2,59.0,5.03,5.07,3.19,1580.0
0.41,Ideal,G,IF,62.4,54.0,4.74,4.78,2.97,1367.0
0.51,Very Good,I,SI2,60.5,56.0,5.23,5.25,3.17,1105.0
0.41,Premium,F,VVS2,60.6,58.0,4.84,4.79,2.92,1192.0
1.19,Very Good,E,I1,60.2,61.0,6.87,6.91,4.15,3508.0
0.4,Ideal,E,VVS2,61.7,56.0,4.77,4.73,2.93,1238.0
0.35,Ideal,D,VS2,60.5,56.0,4.6,4.63,2.79,707.0
0.41,Premium,G,VS1,60.5,57.0,4.85,4.81,2.92,961.0
0.54,Premium,H,SI1,61.0,58.0,5.23,5.27,3.2,1154.0
0.71,Ideal,D,VS1,62.2,55.0,5.71,5.74,3.56,3192.0
0.52,Ideal,G,VVS2,62.7,55.0,5.12,5.15,3.22,1906.0
1.02,Very Good,G,SI1,62.9,56.0,6.36,6.4,4.01,4704.0
0.9,Premium,H,VS2,60.0,59.0,6.23,6.16,3.72,3629.0
0.3,Good,F,SI2,63.3,55.0,4.29,4.33,2.73,394.0
1.01,Ideal,F,VVS2,61.0,57.0,6.52,6.46,3.96,8688.0
0.28,Very Good,E,VS1,60.9,59.0,4.19,4.22,2.56,487.0
0.32,Ideal,D,VVS2,61.6,55.0,4.41,4.45,2.73,1107.0
0.76,Ideal,J,VS2,61.7,56.0,5.85,5.88,3.62,2026.0
1.0,Premium,F,VS2,59.9,60.0,6.11,6.07,3.65,5606.0
1.08,Premium,F,SI2,60.2,59.0,6.6,6.65,3.99,4407.0
0.23,Ideal,F,VVS1,62.4,55.0,3.94,3.95,2.46,505.0
0.7,Very Good,G,VVS2,61.8,60.0,5.63,5.69,3.5,2936.0
1.07,Ideal,G,VS2,61.1,59.0,6.62,6.57,4.03,6324.0
0.88,Ideal,I,SI1,62.4,55.0,6.12,6.16,3.83,3264.0
0.51,Premium,D,VS2,62.0,60.0,5.12,5.07,3.16,1807.0
0.25,Very Good,D,VVS2,,56.0,,4.03,2.52,548.0
0.71,Ideal,H,IF,63.0,57.0,5.68,5.72,3.59,3354.0
2.03,Fair,G,SI2,64.9,59.0,7.85,7.99,5.14,14687.0
0.31,Premium,G,SI1,60.7,60.0,4.34,4.36,2.64,462.0
0.39,Very Good,I,VVS1,61.3,58.0,4.74,4.78,2.92,805.0
0.34,Premium,G,VS2,61.2,58.0,4.5,4.46,2.74,765.0
1.02,Premium,E,VS2,60.0,59.0,6.56,6.54,3.93,7311.0
1.21,Very Good,H,SI1,63.3,57.0,6.77,6.7,4.26,6058.0
1.06,Premium,H,SI1,61.0,60.0,6.59,6.56,4.01,5461.0
1.05,Very Good,E,SI2,61.7,59.0,6.52,6.58,4.04,4010.0
1.5,Good,H,SI2,64.2,56.0,7.26,7.2,4.64,7291.0
0.32,Ideal,H,VVS1,61.4,55.0,4.4,4.46,2.72,698.0
0.36,Ideal,H,SI1,,57.0,4.6,4.57,2.82,648.0
0.95,Premium,J,VVS2,62.6,59.0,6.23,6.26,3.91,3669.0
1.01,Ideal,I,VVS1,61.7,56.0,6.42,6.47,3.98,5478.0
1.0,Good,F,SI2,64.1,58.0,6.35,6.26,4.04,3799.0
0.34,Ideal,E,SI1,60.4,57.0,4.53,4.55,2.74,723.0
1.07,Ideal,H,SI1,62.0,57.0,6.51,6.56,4.05,4830.0
0.31,Ideal,F,IF,60.7,56.0,4.42,4.45,2.69,901.0
0.64,Good,G,VS2,64.1,55.3,5.43,5.45,3.49,1906.0
0.39,Very Good,F,VS1,62.0,56.0,4.72,4.64,2.9,971.0
0.24,Very Good,F,VS1,62.5,58.0,3.95,3.96,2.47,419.0
0.52,Very Good,G,VS1,61.1,58.0,5.16,5.19,3.16,1689.0
0.48,Very Good,E,VVS1,60.6,56.0,5.13,5.06,3.09,2275.0
0.4,Ideal,G,VS1,62.2,56.0,4.72,4.74,2.94,877.0
1.52,Good,H,SI1,63.6,57.0,7.25,7.3,4.63,9898.0
1.29,Ideal,E,VVS2,59.8,59.0,7.07,7.11,4.24,13530.0
1.51,Ideal,I,SI1,62.4,59.0,7.27,7.34,4.56,8752.0
1.6,Very Good,G,VS2,61.0,57.0,7.55,7.59,4.62,14383.0
0.7,Premium,G,SI1,61.4,60.0,5.69,5.74,3.51,2394.0
1.11,Very Good,J,VS2,61.8,56.0,6.59,6.64,4.09,4283.0
0.51,Ideal,G,VS1,,55.0,5.17,5.14,3.2,1781.0
0.34,Ideal,H,VS1,62.4,55.0,4.48,4.5,2.8,615.0
1.02,Very Good,E,I1,60.4,62.0,6.47,6.52,3.92,3455.0
0.7,Very Good,G,VS2,63.2,57.0,5.61,5.66,3.56,2353.0
2.01,Very Good,I,VS2,62.3,59.0,8.02,8.1,5.02,15965.0
0.71,Premium,F,SI1,62.3,60.0,5.68,5.65,3.53,2458.0
1.05,Premium,H,SI1,60.2,62.0,6.57,6.52,3.94,5139.0
0.31,Ideal,D,SI1,61.8,56.0,4.34,4.37,2.69,571.0
1.23,Ideal,J,VS2,61.2,57.0,6.93,6.88,4.23,6015.0
0.31,Ideal,F,VS2,61.1,56.0,4.35,4.39,2.67,640.0
0.51,Ideal,F,VVS2,61.7,56.0,5.12,5.15,3.17,1998.0
1.0,Ideal,I,SI2,,56.0,6.38,6.35,3.98,3276.0
0.51,Very Good,G,VS1,63.4,57.0,5.08,5.04,3.21,1709.0
0.3,Very Good,G,VVS2,61.3,58.0,4.28,4.34,2.64,684.0
0.83,Premium,G,SI2,61.6,57.0,6.06,6.02,3.72,2749.0
1.5,Premium,H,VS2,61.2,61.0,7.32,7.25,4.46,10478.0
1.01,Premium,F,VS2,62.5,58.0,6.43,6.4,4.01,6271.0
0.4,Premium,E,SI1,62.0,61.0,4.71,4.67,2.91,882.0
0.5,Premium,F,SI2,62.3,59.0,5.1,5.04,3.16,1016.0
2.34,Premium,I,I1,61.5,60.0,8.47,8.43,5.2,8491.0
0.7,Good,F,VS1,59.7,63.0,5.76,5.79,3.45,2819.0
0.23,Very Good,E,VVS2,62.7,55.0,3.9,3.95,2.46,505.0
0.38,Ideal,E,SI1,61.4,57.0,4.67,4.64,2.86,838.0
0.43,Ideal,H,VVS2,61.3,56.0,4.86,4.9,2.99,943.0
1.21,Premium,G,VS1,62.7,58.0,6.85,6.76,4.27,8774.0
1.01,Very Good,F,SI1,63.0,57.0,6.36,6.4,4.02,4549.0
0.5,Very Good,G,VS2,60.3,58.0,5.15,5.19,3.12,1354.0
0.4,Very Good,G,SI1,60.0,63.0,4.76,4.8,2.87,702.0
1.06,Ideal,I,SI1,62.2,56.0,6.49,6.53,4.05,4313.0
0.5,Ideal,E,SI1,61.9,55.0,5.18,5.12,3.19,1409.0
0.31,Ideal,F,VVS1,62.0,55.0,4.33,4.35,2.69,815.0
0.3,Very Good,I,SI1,63.3,59.0,4.25,4.22,2.68,506.0
0.67,Good,J,VS1,64.2,55.6,5.54,5.57,3.57,1581.0
0.96,Very Good,F,SI1,62.1,62.0,6.24,6.32,3.9,4755.0
0.53,Ideal,D,SI1,61.2,57.0,5.19,5.24,3.19,1587.0
1.2,Premium,F,VS1,61.8,59.0,6.79,6.76,4.19,8669.0
0.7,Premium,H,SI2,62.9,61.0,5.57,5.53,3.49,1942.0
0.71,Ideal,F,SI2,61.6,56.0,5.68,5.74,3.52,2202.0
0.7,Ideal,I,VS1,63.1,54.0,5.61,5.67,3.56,2142.0
0.36,Ideal,H,IF,61.9,57.0,4.6,4.55,2.83,1013.0
0.81,Ideal,D,VS2,62.1,56.0,6.01,5.98,3.72,4087.0
0.7,Good,E,VS2,59.2,64.0,5.8,5.75,3.42,2559.0
0.41,Ideal,E,VVS1,61.9,55.0,4.78,4.79,2.96,1367.0
0.75,Premium,H,VS1,58.9,62.0,5.96,5.93,3.5,2588.0
0.51,Very Good,F,VS1,63.3,59.0,5.09,5.12,3.23,1722.0
0.31,Ideal,D,VS2,62.1,55.0,4.32,4.38,2.7,636.0
1.51,Fair,G,I1,65.6,54.0,7.28,7.1,4.72,4167.0
1.03,Ideal,E,SI1,62.1,56.0,6.43,6.48,4.01,5476.0
0.55,Ideal,G,IF,61.1,57.0,5.26,5.31,3.23,2383.0
0.73,Ideal,E,VVS1,62.0,56.0,5.75,5.79,3.58,4830.0
0.74,Ideal,F,VS1,62.0,54.0,5.85,5.81,3.62,3694.0
1.05,Good,E,VS1,63.1,59.0,6.45,6.49,4.08,7826.0
1.04,Premium,H,SI2,61.5,59.0,6.54,6.51,4.01,4368.0
1.37,Ideal,J,VS2,63.0,57.0,7.11,7.05,4.46,5831.0
0.7,Ideal,E,SI2,60.5,56.0,5.8,5.77,3.5,2375.0
1.21,Ideal,G,VVS1,60.2,57.0,7.02,6.94,4.2,10232.0
0.9,Very Good,E,SI1,63.5,55.0,6.22,6.12,3.92,3508.0
0.9,Good,F,I1,64.3,58.0,6.09,6.05,3.9,2143.0
0.52,Ideal,E,VVS2,61.3,56.0,5.18,5.2,3.18,2675.0
1.12,Very Good,G,SI2,61.2,58.0,6.65,6.69,4.08,5504.0
1.01,Good,E,SI2,63.7,58.0,6.36,6.32,4.04,4751.0
2.06,Good,J,SI1,64.1,56.0,7.97,8.09,5.15,11746.0
2.01,Premium,J,SI2,62.4,59.0,8.05,8.1,5.04,12105.0
1.03,Ideal,G,VVS2,60.7,57.0,6.5,6.58,3.97,8385.0
0.53,Premium,D,SI1,61.0,58.0,5.18,5.22,3.17,1631.0
0.9,Ideal,E,SI1,59.1,59.0,6.31,6.37,3.75,4439.0
0.5,Ideal,D,VS2,61.2,55.0,5.12,5.07,3.12,1808.0
0.44,Ideal,H,IF,61.5,56.0,4.89,4.93,3.02,1185.0
0.4,Premium,E,VVS1,61.4,59.0,4.74,4.68,2.89,1397.0
0.35,Ideal,F,SI2,62.8,55.0,4.53,4.48,2.83,591.0
1.22,Ideal,F,VVS1,61.2,57.0,6.88,6.92,4.22,13029.0
0.35,Very Good,H,SI1,60.0,61.0,4.57,4.6,2.75,491.0
1.37,Ideal,F,VS1,59.6,57.0,7.28,7.22,4.32,11649.0
0.3,Premium,E,VS2,62.3,58.0,4.32,4.28,2.68,844.0
0.73,Very Good,E,SI1,58.6,57.0,5.91,6.0,3.49,2441.0
1.21,Ideal,G,VS1,62.5,57.0,6.77,6.7,4.21,6025.0
2.4,Ideal,H,SI2,62.0,55.0,8.6,8.57,5.32,18541.0
0.91,Good,G,VS1,63.6,60.0,6.11,6.03,3.86,4209.0
1.54,Premium,G,SI1,63.0,59.0,7.31,7.26,4.59,8176.0
1.64,Ideal,G,VS2,61.5,56.0,7.59,7.62,4.68,16297.0
1.02,Ideal,J,SI2,61.6,55.0,6.49,6.43,3.98,2611.0
0.34,Ideal,E,VS1,61.2,57.0,4.45,4.51,2.74,805.0
1.25,Premium,H,SI2,62.1,58.0,6.93,6.86,4.28,5950.0
0.3,Ideal,G,VVS2,62.4,55.0,4.32,4.34,2.7,665.0
0.3,Premium,H,VVS2,60.8,58.0,4.37,4.34,2.65,776.0
1.54,Premium,H,VS2,61.0,60.0,7.46,7.42,4.54,11177.0
1.05,Very Good,D,VS2,62.9,57.0,6.39,6.51,4.06,6373.0
1.03,Very Good,F,SI2,63.3,59.0,6.35,6.32,4.01,3692.0
0.51,Ideal,E,SI1,61.5,57.0,5.11,5.16,3.16,1682.0
0.52,Premium,H,SI1,62.6,55.0,5.16,5.12,3.22,1219.0
1.02,Premium,E,SI1,62.6,58.0,6.44,6.47,4.05,5183.0
0.31,Premium,H,VVS2,61.2,59.0,4.38,4.34,2.67,802.0
0.82,Premium,H,VS2,62.6,59.0,5.99,5.93,3.73,2939.0
0.55,Good,H,SI1,63.6,55.0,5.18,5.23,3.31,1175.0
0.9,Very Good,G,SI2,63.1,59.0,6.11,6.16,3.87,3353.0
0.41,Ideal,H,VS1,,57.0,4.77,4.81,2.95,829.0
0.71,Ideal,F,SI1,62.7,55.0,5.65,5.74,3.57,2346.0
1.1,Very Good,E,SI2,63.3,56.0,6.58,6.53,4.15,4140.0
1.1,Ideal,G,VS2,62.0,56.0,6.6,6.68,4.12,6534.0
1.25,Ideal,I,SI2,63.3,56.0,6.87,6.83,4.34,5292.0
1.03,Ideal,H,SI1,62.0,56.0,6.43,6.5,4.01,4900.0
0.3,Ideal,E,VVS1,61.2,57.0,4.33,4.36,2.66,895.0
0.31,Premium,G,SI1,61.8,58.0,4.35,4.32,2.68,553.0
0.56,Ideal,F,VVS1,62.1,56.0,5.29,5.3,3.29,2510.0
1.13,Premium,F,IF,60.0,58.0,6.78,6.76,4.06,12543.0
1.11,Ideal,D,SI2,61.6,55.0,6.66,6.62,4.09,5648.0
0.4,Premium,E,VS2,62.5,58.0,4.73,4.65,2.93,975.0
0.56,Premium,F,I1,62.6,60.0,5.3,5.15,3.27,953.0
0.33,Premium,E,VS2,62.0,59.0,4.39,4.41,2.73,723.0
0.33,Ideal,F,VVS1,61.9,56.0,4.47,4.42,2.75,1021.0
1.1,Ideal,I,VS1,61.7,57.0,6.65,6.62,4.09,5544.0
0.7,Premium,E,SI1,60.7,58.0,5.73,5.74,3.48,2679.0
0.9,Premium,F,SI2,58.5,60.0,6.3,6.25,3.67,2681.0
1.02,Good,F,SI1,64.3,58.0,6.28,6.32,4.05,4936.0
1.1,Very Good,F,I1,59.8,61.0,6.65,6.7,3.99,3678.0
1.25,Premium,J,VS2,62.2,59.0,6.88,6.86,4.27,5396.0
1.52,Very Good,F,VS1,63.8,56.0,7.25,7.3,4.64,15819.0
1.71,Ideal,G,VS1,61.4,57.0,7.72,7.65,4.72,17204.0
0.76,Ideal,D,SI2,62.2,57.0,5.83,5.85,3.63,2682.0
0.31,Ideal,H,VS1,61.6,56.0,4.34,4.36,2.68,544.0
1.04,Premium,E,SI2,60.1,60.0,6.53,6.51,3.92,4436.0
1.02,Fair,F,SI1,64.8,59.0,6.33,6.23,4.07,5255.0
0.71,Ideal,G,SI1,61.6,56.0,5.73,5.76,3.54,2649.0
0.78,Premium,G,VS2,60.8,58.0,6.03,5.95,3.64,2803.0
0.5,Premium,F,VVS2,62.3,58.0,5.06,5.11,3.17,2052.0
0.35,Ideal,D,SI2,61.8,57.0,4.57,4.53,2.81,669.0
0.71,Very Good,I,VVS1,63.0,58.0,5.68,5.72,3.59,2456.0
1.1,Premium,E,SI2,59.1,60.0,6.77,6.7,3.98,4967.0
1.05,Ideal,H,SI2,62.0,57.0,6.54,6.5,4.04,3528.0
0.44,Premium,H,SI2,58.4,60.0,5.05,4.99,2.93,759.0
1.07,Good,F,VS2,57.6,60.0,6.83,6.79,3.92,6828.0
0.7,Ideal,F,VS1,61.0,55.0,5.77,5.73,3.51,2874.0
0.24,Ideal,G,VVS1,62.2,56.0,4.0,4.04,2.5,559.0
0.87,Ideal,H,SI1,62.5,57.0,6.13,6.06,3.81,2923.0
1.52,Very Good,G,SI1,62.5,58.0,7.26,7.3,4.55,10150.0
0.73,Premium,F,VS2,58.7,57.0,5.97,5.92,3.49,2882.0
1.15,Ideal,H,SI1,62.4,54.0,6.71,6.76,4.2,6106.0
1.25,Very Good,F,SI2,58.0,63.0,7.16,7.06,4.13,5851.0
0.4,Ideal,G,VVS1,61.2,56.0,4.75,4.79,2.92,1123.0
1.0,Ideal,D,SI1,62.8,55.0,6.3,6.38,3.98,5639.0
1.02,Ideal,H,SI1,61.8,57.0,6.48,6.41,3.98,4558.0
1.0,Good,E,VS2,63.1,56.0,6.37,6.41,4.03,6776.0
1.51,Very Good,E,VS2,62.7,59.0,7.2,7.32,4.55,12779.0
2.02,Premium,F,SI2,61.7,58.0,8.15,8.11,5.02,18487.0
0.5,Premium,H,SI1,59.0,59.0,5.22,5.18,3.07,1156.0
0.5,Very Good,E,VS2,62.9,59.0,5.06,5.09,3.19,1624.0
1.01,Ideal,E,SI1,62.0,57.0,6.38,6.45,3.98,5235.0
0.4,Ideal,F,SI1,62.1,57.0,4.69,4.65,2.9,882.0
0.48,Premium,G,SI1,59.7,59.0,5.07,5.04,3.02,960.0
0.33,Ideal,E,VVS2,61.9,57.0,4.44,4.47,2.75,917.0
1.52,Premium,H,VS2,61.1,61.0,7.4,7.36,4.51,8825.0
1.1,Ideal,G,VS1,61.3,54.0,6.69,6.65,4.09,6535.0
0.34,Ideal,G,VVS1,62.1,53.0,4.49,4.53,2.8,863.0
0.65,Ideal,E,SI1,62.7,54.0,5.58,5.56,3.49,1989.0
0.33,Premium,F,SI1,59.9,61.0,4.47,4.44,2.67,705.0
1.24,Ideal,J,SI1,61.9,56.0,6.95,6.88,4.28,5125.0
0.79,Ideal,E,SI2,61.0,57.0,6.0,5.95,3.65,3390.0
0.31,Ideal,G,VVS1,62.3,56.0,4.34,4.37,2.71,772.0
0.41,Premium,G,VS2,61.8,59.0,4.76,4.72,2.93,1061.0
1.0,Premium,G,VVS2,60.5,62.0,6.44,6.39,3.88,7392.0
1.0,Good,I,SI1,63.8,58.0,6.28,6.32,4.02,3850.0
1.01,Very Good,G,VS2,62.5,59.0,6.34,6.37,3.97,6204.0
1.2,Premium,F,VS2,62.8,59.0,6.78,6.69,4.23,8964.0
1.1,Premium,D,SI2,62.4,58.0,6.6,6.57,4.11,4725.0
0.9,Very Good,F,SI1,63.4,58.0,6.09,6.12,3.87,3950.0
0.41,Premium,E,VS1,60.1,58.0,4.81,4.84,2.9,1079.0
0.32,Ideal,G,VS2,62.4,55.0,4.39,4.36,2.73,672.0
0.51,Ideal,G,VVS1,61.6,56.0,5.12,5.16,3.17,1933.0
1.01,Very Good,G,SI2,62.9,56.0,6.36,6.39,4.01,4176.0
1.22,Premium,H,SI1,60.6,58.0,6.91,6.86,4.17,5063.0
0.3,Ideal,F,SI1,61.9,57.0,4.31,4.35,2.68,475.0
0.81,Ideal,D,SI1,62.0,56.0,5.97,6.0,3.71,3852.0
0.38,Ideal,D,VVS2,61.5,56.0,4.66,4.64,2.86,1257.0
0.54,Ideal,F,SI2,61.1,56.0,5.26,5.22,3.2,1240.0
0.39,Very Good,J,VVS1,62.5,58.0,4.61,4.67,2.9,718.0
0.32,Ideal,D,VVS2,61.3,55.0,4.4,4.44,2.71,867.0
0.71,Premium,F,VVS1,58.1,58.0,5.92,5.88,3.43,3347.0
1.0,Good,H,SI2,63.9,55.0,6.25,6.33,4.02,3878.0
0.7,Good,F,SI1,62.8,58.0,5.6,5.65,3.53,2470.0
0.94,Premium,D,VS1,62.3,58.0,6.34,6.28,3.93,5980.0
0.35,Ideal,G,IF,61.8,55.0,4.54,4.56,2.81,1044.0
0.7,Ideal,F,SI1,60.7,57.0,5.78,5.82,3.52,2671.0
0.39,Good,G,VVS2,63.4,57.0,4.62,4.65,2.94,894.0
1.24,Ideal,H,VVS1,62.3,54.0,6.88,6.9,4.29,8489.0
0.43,Ideal,F,IF,60.9,57.0,4.89,4.86,2.97,1580.0
0.33,Ideal,G,VVS2,61.5,56.0,4.49,4.45,2.75,965.0
0.91,Very Good,J,VS2,61.6,59.0,6.13,6.25,3.81,3290.0
0.41,Very Good,G,SI1,62.8,58.0,4.72,4.74,2.97,671.0
0.32,Ideal,D,VVS1,61.9,56.0,4.39,4.36,2.71,1140.0
2.13,Premium,J,VS2,59.6,59.0,8.43,8.37,5.01,15110.0
1.0,Ideal,F,SI2,61.1,54.0,6.51,6.47,3.97,3674.0
0.72,Ideal,E,SI1,61.0,57.0,5.78,5.8,3.53,2835.0
0.52,Very Good,F,VVS2,62.9,57.0,5.11,5.13,3.22,2035.0
0.41,Fair,I,VS1,65.3,58.0,4.62,4.66,3.03,735.0
0.31,Premium,D,SI1,60.9,60.0,4.38,4.39,2.67,571.0
0.73,Very Good,E,SI1,63.2,58.0,5.76,5.7,3.62,2821.0
0.52,Ideal,D,SI1,62.4,57.0,5.14,5.18,3.22,1600.0
0.32,Ideal,D,SI1,62.8,56.0,4.35,4.34,2.73,756.0
0.28,Very Good,H,VS2,59.7,60.0,4.25,4.29,2.55,394.0
1.0,Very Good,E,SI1,62.1,57.0,6.35,6.4,3.96,4864.0
1.01,Very Good,I,SI2,61.8,60.0,6.34,6.37,3.93,3885.0
1.11,Ideal,H,SI1,61.0,56.0,6.74,6.7,4.1,5315.0
0.41,Very Good,E,VVS1,62.9,59.0,4.72,4.76,2.98,1367.0
0.66,Ideal,E,SI2,62.4,56.0,5.61,5.55,3.48,1584.0
0.39,Good,I,VS1,63.1,58.0,4.68,4.61,2.93,737.0
0.54,Ideal,H,VVS1,61.1,57.0,5.26,5.22,3.2,1944.0
0.55,Good,H,SI1,,55.0,5.23,5.18,3.31,1263.0
0.71,Good,E,SI1,65.9,57.0,5.51,5.57,3.65,2631.0
1.56,Ideal,I,VS1,61.2,59.0,7.43,7.5,4.57,10399.0
1.26,Ideal,E,VVS2,61.1,57.0,7.0,6.98,4.27,14300.0
1.0,Very Good,E,SI2,58.7,59.0,6.5,6.58,3.84,4975.0
1.5,Very Good,I,VS1,62.2,59.0,7.27,7.3,4.53,10164.0
0.54,Premium,H,VS1,61.3,58.0,5.25,5.22,3.21,1637.0
0.4,Premium,D,SI1,60.9,60.0,4.74,4.78,2.9,689.0
1.43,Very Good,J,VS2,62.8,56.0,7.13,7.19,4.5,6579.0
2.01,Very Good,I,SI1,61.8,62.0,7.98,8.07,4.96,13691.0
0.78,Ideal,F,VS2,61.5,56.0,5.94,5.9,3.64,3531.0
1.16,Ideal,G,SI2,61.6,55.0,6.8,6.78,4.18,5171.0
1.0,Very Good,G,SI1,59.3,63.0,6.48,6.44,3.83,4827.0
0.9,Good,H,VS1,60.6,61.0,6.13,6.19,3.73,4072.0
2.21,Premium,J,SI2,62.7,57.0,8.33,8.25,5.2,13642.0
2.01,Very Good,H,SI2,63.0,59.0,7.9,7.93,4.99,15773.0
1.08,Premium,H,SI1,62.6,56.0,6.58,6.52,4.1,4826.0
0.32,Ideal,F,VS2,62.6,55.0,4.38,4.41,2.75,645.0
1.02,Premium,F,SI1,58.4,59.0,6.65,6.57,3.86,4855.0
0.64,Ideal,J,VVS2,62.4,57.0,5.48,5.51,3.43,1709.0
1.05,Fair,I,I1,61.8,66.0,6.48,6.37,3.97,2396.0
0.3,Very Good,H,VVS1,62.0,59.0,4.26,4.29,2.65,684.0
0.71,Good,I,VS1,63.8,53.0,5.7,5.64,3.62,2104.0
1.21,Ideal,D,VS1,61.0,57.0,6.88,6.85,4.19,10335.0
1.02,Very Good,D,SI2,60.3,58.0,6.48,6.52,3.92,4633.0
1.3,Premium,H,SI2,60.1,57.0,7.17,7.13,4.3,6406.0
1.6,Very Good,J,SI1,62.7,58.0,7.37,7.41,4.63,7550.0
2.03,Very Good,I,SI2,62.8,60.0,7.99,8.05,5.04,13063.0
0.9,Very Good,D,SI2,62.9,59.0,6.06,6.15,3.84,3706.0
1.5,Very Good,H,SI1,63.5,58.0,7.23,7.17,4.57,7459.0
0.52,Ideal,E,VS1,61.3,56.0,5.18,5.22,3.19,1726.0
0.32,Ideal,I,VS1,62.4,54.0,4.38,4.4,2.74,523.0
0.31,Premium,G,VVS1,59.8,62.0,4.41,4.35,2.62,977.0
0.32,Ideal,G,SI1,61.5,55.0,4.4,4.44,2.72,647.0
1.67,Premium,H,SI1,59.4,61.0,7.78,7.73,4.61,11248.0
0.39,Very Good,E,VS2,60.9,58.0,4.72,4.77,2.89,793.0
0.4,Ideal,I,VVS1,60.5,57.0,4.76,4.79,2.89,842.0
0.71,Good,I,VVS1,63.8,56.0,5.7,5.65,3.62,2572.0
0.3,Very Good,F,VS2,62.8,58.0,4.25,4.28,2.68,605.0
1.02,Premium,F,I1,59.6,59.0,6.51,6.45,3.87,2452.0
1.05,Ideal,G,VVS2,60.4,54.0,6.6,6.65,4.0,9000.0
1.27,Premium,J,VVS1,60.1,58.0,7.06,6.99,4.22,5761.0
1.12,Premium,H,SI1,61.2,59.0,6.69,6.65,4.08,4641.0
0.7,Premium,E,VVS2,60.6,60.0,5.74,5.72,3.47,3377.0
0.31,Premium,G,VS1,62.1,58.0,4.36,4.31,2.69,695.0
1.7,Premium,J,SI2,63.0,60.0,7.59,7.53,4.76,7650.0
2.01,Premium,E,SI2,62.6,58.0,8.01,7.93,4.99,14502.0
0.5,Very Good,E,SI2,63.1,58.0,5.09,5.05,3.2,1181.0
0.93,Ideal,F,SI2,61.9,57.0,6.21,6.25,3.86,3941.0
0.31,Premium,D,SI2,61.8,60.0,4.37,4.33,2.69,593.0
